1,1.01484,0.7936,0.433402,1.32783
1.5,1.07215,0.615268,0.0635618,0.525858
2,1.04879,0.018988,-0.0689186,0.31897
2.5,1.14687,0.447374,-0.151024,0.194063
3,0.627667,0.855961,-0.112687,0.278891
3.5,0.827921,0.547009,-0.214474,0.149486
4,0.468223,0.632503,-0.228613,0.153371
4.5,0.778077,0.536453,-0.256202,0.124291
5,0.839965,0.753052,-0.20006,0.210739
5.5,1.11637,0.399458,-0.272384,0.121392
6,0.6971,1.08676,-0.268435,0.126122
6.5,1.30745,0.074365,-0.269601,0.119951
7,0.621845,0.671711,-0.269281,0.108132
7.5,0.573359,0.785123,-0.294424,0.0946209
8,0.487624,0.621094,-0.305454,0.114966
8.5,0.544884,0.828821,-0.353721,0.0710558
9,0.91899,0.461282,-0.32352,0.0973443
9.5,0.708712,0.396839,-0.266724,0.0985001
10,0.924462,0.733243,-0.279541,0.122658
10.5,0.671994,0.68605,-0.314251,0.103323
11,0.65211,0.798528,-0.323257,0.100419
11.5,0.887858,0.486789,-0.300385,0.104912
12,0.788289,0.60889,-0.283689,0.0901848
12.5,0.738414,0.608088,-0.324967,0.0716136
13,0.811308,0.816385,-0.37165,0.0690515
13.5,0.655077,0.756181,-0.357707,0.0867067
14,0.751455,0.778123,-0.384115,0.0766453
14.5,0.593577,0.734545,-0.370667,0.0576084
15,0.667678,0.567089,-0.349556,0.0916725
15.5,0.653611,0.680555,-0.395521,0.0519958
16,0.633249,0.699088,-0.399398,0.0409873
16.5,0.623683,0.911264,-0.372474,0.0545048
17,0.929271,0.457923,-0.359295,0.0680671
17.5,0.5649,0.943953,-0.354961,0.0765028
18,0.535728,0.71557,-0.383598,0.0501564
18.5,0.703132,0.758039,-0.394227,0.038936
19,0.643023,0.742573,-0.365518,0.0569443
19.5,0.714901,0.845539,-0.416073,0.0496072
20,0.565324,0.855164,-0.393531,0.0448766
20.5,0.666656,0.794773,-0.382515,0.0637243
21,0.909662,0.797469,-0.322951,0.0975185
21.5,0.517535,0.72718,-0.387946,0.0493641
22,0.680551,0.61044,-0.383694,0.0674762
22.5,0.541961,0.796716,-0.394287,0.044338
23,0.559355,0.668886,-0.360137,0.0621742
23.5,0.607224,0.721893,-0.393197,0.0562365
24,0.604982,0.81662,-0.409922,0.0293289
24.5,0.699121,0.808045,-0.392797,0.0502553
25,0.666715,0.844795,-0.404091,0.0325686
25.5,0.709272,0.681262,-0.395492,0.0511455
26,0.653466,0.75797,-0.405503,0.0285618
26.5,0.648891,0.911748,-0.377186,0.0416354
27,0.616028,0.837456,-0.409338,0.0423254
27.5,0.622047,0.796422,-0.396418,0.062465
28,0.599434,0.802674,-0.412727,0.0335681
28.5,0.636691,0.688219,-0.408395,0.0365573
29,0.559364,0.852892,-0.404711,0.0450119
29.5,0.735998,0.601413,-0.406508,0.048477
30,0.582981,0.793896,-0.400338,0.059998
30.5,0.648999,0.703555,-0.411516,0.0388982
31,0.595256,0.894829,-0.407524,0.0339788
31.5,0.878335,0.489044,-0.422005,0.0218628
32,0.647773,0.894017,-0.390643,0.0497379
32.5,0.653085,0.713016,-0.391338,0.0432895
33,0.589434,0.899569,-0.420635,0.0309936
33.5,0.494675,0.693311,-0.411451,0.0385329
