0,30174.7
1,26056.5
2,22157.3
3,19816.5
4,17753.2
5,15856.2
6,14615
7,13818.3
8,12909.2
9,11942
10,11245.8
11,10639.8
12,10016.7
13,9474.12
14,9111.91
15,8853.89
16,8625.67
17,8278.82
18,7755.69
19,7411.24
20,7250.47
21,7105.57
22,6954.69
23,6658.53
24,6427.07
25,6246.93
26,6157.81
27,6111.77
28,6043.9
29,5987.77
30,5943.46
31,5860.58
32,5766.34
33,5706.16
34,5684.09
35,5663.99
36,5637.49
37,5597.12
38,5525.33
39,5457.74
40,5442.17
41,5441.55
42,5417.98
43,5400.45
44,5393.32
45,5381.23
46,5356.11
47,5294.79
48,5274.74
49,5257.73
50,5230.74
51,5223.66
52,5186.32
53,5129.99
54,5066.62
55,5030.92
56,5011.58
57,4999.54
58,4987.19
59,4973.19
60,4934
61,4897.96
62,4879.19
63,4871.09
64,4868.05
65,4857.79
66,4842.33
67,4833.1
68,4833.25
69,4830.75
70,4823.6
71,4817.64
72,4813.63
73,4812.87
74,4826.11
75,4852.96
76,4859.35
77,4842.3
78,4820.02
79,4806.05
80,4827.37
81,4784.8
82,4779.95
83,4777.22
84,4777.43
85,4778.9
86,4778.37
87,4779.42
88,4779.25
89,4779.86
90,4802.66
91,4839.01
92,4801.2
93,4782.79
94,4776.17
95,4771.22
96,4768.37
97,4768.02
98,4768.89
99,4768.54
100,4768.13
101,4768.05
102,4769.43
103,4769.76
104,4769.37
105,4768
106,4768.14
107,4769.49
108,4768.17
109,4768.18
110,4769.61
111,4770.43
112,4769.08
113,4768.49
114,4767.9
115,4768.3
116,4766.12
117,4766.43
118,4766.03
119,4766
120,4766.9
121,4766.93
122,4766.71
123,4766.97
124,4767.23
125,4766.03
126,4766.06
127,4766.79
128,4766.14
129,4766.42
130,4764.54
131,4765.55
132,4765.01
133,4764.76
134,4764.05
135,4764.66
136,4764.21
137,4763.7
138,4764.42
139,4764.04
140,4763.01
141,4762.61
142,4762.44
143,4762.71
144,4763.43
145,4762.83
146,4765.83
147,4764.04
148,4764.11
149,4763.2
150,4764.43
151,4762.33
152,4764.54
153,4763.52
154,4762.08
155,4765.35
156,4754.36
157,4730.44
158,4712.04
159,4703.77
160,4702.85
161,4702.93
162,4702.94
163,4699.45
164,4692.7
165,4683.57
166,4682.97
167,4680.69
168,4681.52
169,4681.71
170,4680.51
171,4680.85
172,4680.2
173,4680.46
174,4680.05
175,4680
176,4678.94
177,4675.61
178,4673.69
179,4672.62
180,4672.86
181,4672.49
182,4673.07
183,4672.2
184,4672.13
185,4672
186,4672.09
187,4672.13
188,4672
189,4672.51
190,4672.97
191,4672.05
192,4672.11
193,4672.48
194,4672.45
195,4672.59
196,4672.31
197,4672.31
198,4672.52
199,4672.52
