1,1.20094,1.20094,0
2,1.20169,1.20132,0.000262302
3,1.19998,1.20087,0.00040233
4,1.20171,1.20108,0.000352486
5,1.20177,1.20122,0.000307797
6,1.20104,1.20119,0.00025791
7,1.20126,1.2012,0.000221276
8,1.19967,1.20101,0.000263595
9,1.19986,1.20088,0.000263459
10,1.20278,1.20107,0.000297682
11,1.20156,1.20112,0.000273891
12,1.20149,1.20115,0.000252861
13,1.20165,1.20119,0.000236368
14,1.20179,1.20123,0.000223366
15,1.20023,1.20116,0.000218231
16,1.20205,1.20122,0.000211578
17,1.20191,1.20126,0.000202996
18,1.20346,1.20138,0.000225638
19,1.20244,1.20144,0.000220547
20,1.20111,1.20142,0.000210138
21,1.20189,1.20144,0.000201318
22,1.20106,1.20142,0.000192909
23,1.20142,1.20142,0.000184522
24,1.20115,1.20141,0.000177186
25,1.203,1.20148,0.000181078
26,1.20276,1.20153,0.000180688
27,1.20168,1.20153,0.000174089
28,1.20242,1.20156,0.000170764
29,1.20243,1.20159,0.000167444
30,1.20153,1.20159,0.000161874
