1,-86.3006,32.3777
9,-84.2813,30.4381
40,-81.0332,34.0003
32,-78.6391,35.7804
46,-77.4336,37.5389
20,-76.4909,38.9788
8,-75.5197,39.1573
30,-74.7699,40.2206
7,-72.6822,41.764
39,-71.415,41.8309
21,-71.0637,42.3582
19,-69.7817,44.3072
29,-71.538,43.2069
45,-72.5805,44.2624
34,-73.7579,42.6528
38,-76.8836,40.2644
48,-81.6123,38.3362
35,-82.9991,39.9613
17,-84.8754,38.1867
14,-86.1626,39.7686
22,-84.5553,42.7336
49,-89.3844,43.0747
13,-89.655,39.7984
25,-92.1729,38.5792
16,-95.678,39.0482
27,-96.6997,40.8081
15,-93.6037,41.5911
23,-93.1022,44.9551
33,-100.783,46.8209
41,-100.346,44.367
50,-104.82,41.1403
44,-111.888,40.7775
26,-112.018,46.5857
12,-116.2,43.6178
37,-123.03,44.9385
47,-122.905,47.0358
2,-134.42,58.3016
11,-157.857,21.3074
5,-121.494,38.5767
28,-119.766,39.1639
3,-112.097,33.4481
31,-105.94,35.6822
6,-104.985,39.7392
36,-97.5033,35.4922
43,-97.7403,30.2747
18,-91.1874,30.4571
24,-90.1821,32.3038
4,-92.289,34.7466
42,-86.7842,36.1658
10,-84.3882,33.749
